"On-time Graduation Rate"
10/12/2024

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2023,DIV,"Alexandria City Public Schools",Male,497,407,81.9,414,83.3
2023,DIV,"Alexandria City Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Alexandria City Public Schools","Multiple Races",21,21,100,21,100
2023,DIV,"Alexandria City Public Schools","Students with Disabilities",86,73,84.9,75,87.2
2023,DIV,"Alexandria City Public Schools",White,266,259,97.4,261,98.1
2023,DIV,"Alleghany Highlands Public Schools","All Students",216,177,81.9,185,85.6
2023,DIV,"Alleghany Highlands Public Schools","American Indian",<,<,<,<,<
2023,DIV,"Alleghany Highlands Public Schools",Asian,<,<,100,<,100
2023,DIV,"Alleghany Highlands Public Schools",Black,18,13,72.2,14,77.8
2023,DIV,"Alleghany Highlands Public Schools","Economically Disadvantaged",100,73,73,79,79
2023,DIV,"Alleghany Highlands Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Alleghany Highlands Public Schools",Female,103,85,82.5,87,84.5
2023,DIV,"Alleghany Highlands Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Alleghany Highlands Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Alleghany Highlands Public Schools",Male,113,92,81.4,98,86.7
2023,DIV,"Alleghany Highlands Public Schools","Multiple Races",10,6,60,8,80
2023,DIV,"Alleghany Highlands Public Schools","Students with Disabilities",29,25,86.2,26,89.7
2023,DIV,"Alleghany Highlands Public Schools",White,180,153,85,158,87.8
2023,DIV,"Amelia County Public Schools","All Students",126,110,87.3,110,87.3
2023,DIV,"Amelia County Public Schools",Black,31,29,93.5,29,93.5
2023,DIV,"Amelia County Public Schools","Economically Disadvantaged",63,50,79.4,50,79.4
2023,DIV,"Amelia County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Amelia County Public Schools",Female,57,52,91.2,52,91.2
2023,DIV,"Amelia County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Amelia County Public Schools",Hispanic,<,<,100,<,100
2023,DIV,"Amelia County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Amelia County Public Schools",Male,69,58,84.1,58,84.1
2023,DIV,"Amelia County Public Schools","Military Connected",<,<,<,<,<
2023,DIV,"Amelia County Public Schools","Multiple Races",11,10,90.9,10,90.9
2023,DIV,"Amelia County Public Schools","Students with Disabilities",19,10,52.6,10,52.6
2023,DIV,"Amelia County Public Schools",White,77,64,83.1,64,83.1
2023,DIV,"Amherst County Public Schools","All Students",298,281,94.3,284,95.3
2023,DIV,"Amherst County Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Amherst County Public Schools",Black,56,54,96.4,54,96.4
2023,DIV,"Amherst County Public Schools","Economically Disadvantaged",144,130,90.3,133,92.4
2023,DIV,"Amherst County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Amherst County Public Schools",Female,138,132,95.7,133,96.4
2023,DIV,"Amherst County Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Amherst County Public Schools",Hispanic,11,11,100,11,100
2023,DIV,"Amherst County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Amherst County Public Schools",Male,160,149,93.1,151,94.4
2023,DIV,"Amherst County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Amherst County Public Schools","Multiple Races",30,30,100,30,100
2023,DIV,"Amherst County Public Schools","Students with Disabilities",36,34,94.4,34,94.4
2023,DIV,"Amherst County Public Schools",White,199,184,92.5,187,94
2023,DIV,"Appomattox County Public Schools","All Students",177,152,85.9,163,92.1
2023,DIV,"Appomattox County Public Schools",Asian,<,<,100,<,100
2023,DIV,"Appomattox County Public Schools",Black,32,27,84.4,29,90.6
2023,DIV,"Appomattox County Public Schools","Economically Disadvantaged",82,60,73.2,69,84.1
2023,DIV,"Appomattox County Public Schools","English Learners",<,<,<,<,<
2023,DIV,"Appomattox County Public Schools",Female,91,85,93.4,87,95.6
2023,DIV,"Appomattox County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Appomattox County Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Appomattox County Public Schools",Male,86,67,77.9,76,88.4
2023,DIV,"Appomattox County Public Schools","Military Connected",<,<,<,<,<
2023,DIV,"Appomattox County Public Schools","Multiple Races",16,15,93.8,15,93.8
2023,DIV,"Appomattox County Public Schools","Students with Disabilities",16,13,81.3,14,87.5
2023,DIV,"Appomattox County Public Schools",White,119,103,86.6,111,93.3
2023,DIV,"Arlington County Public Schools","All Students",1887,1760,93.3,1779,94.3
2023,DIV,"Arlington County Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Arlington County Public Schools",Asian,144,140,97.2,141,97.9
2023,DIV,"Arlington County Public Schools",Black,222,201,90.5,201,90.5
2023,DIV,"Arlington County Public Schools","Economically Disadvantaged",692,617,89.2,634,91.6
2023,DIV,"Arlington County Public Schools","English Learners",259,201,77.6,217,83.8
2023,DIV,"Arlington County Public Schools",Female,953,899,94.3,909,95.4
2023,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Arlington County Public Schools",Hispanic,618,527,85.3,544,88
2023,DIV,"Arlington County Public Schools",Homeless,15,13,86.7,13,86.7
2023,DIV,"Arlington County Public Schools",Male,931,858,92.2,867,93.1
2023,DIV,"Arlington County Public Schools","Military Connected",76,72,94.7,73,96.1
2023,DIV,"Arlington County Public Schools","Multiple Races",131,128,97.7,128,97.7
2023,DIV,"Arlington County Public Schools","Native Hawaiian",<,<,100,<,100
2023,DIV,"Arlington County Public Schools","Students with Disabilities",272,254,93.4,260,95.6
2023,DIV,"Arlington County Public Schools",White,769,761,99,762,99.1
2023,DIV,"Augusta County Public Schools","All Students",768,724,94.3,740,96.4
2023,DIV,"Augusta County Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Augusta County Public Schools",Asian,12,12,100,12,100
2023,DIV,"Augusta County Public Schools",Black,21,17,81,18,85.7
2023,DIV,"Augusta County Public Schools","Economically Disadvantaged",277,250,90.3,261,94.2
2023,DIV,"Augusta County Public Schools","English Learners",11,10,90.9,10,90.9
2023,DIV,"Augusta County Public Schools",Female,358,342,95.5,349,97.5
2023,DIV,"Augusta County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Augusta County Public Schools",Hispanic,53,50,94.3,51,96.2
2023,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<
2023,DIV,"Augusta County Public Schools",Male,410,382,93.2,391,95.4
2023,DIV,"Augusta County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Augusta County Public Schools","Multiple Races",28,26,92.9,28,100
2023,DIV,"Augusta County Public Schools","Students with Disabilities",74,69,93.2,70,94.6
2023,DIV,"Augusta County Public Schools",White,651,616,94.6,628,96.5
2023,DIV,"Bath County Public Schools","All Students",34,32,94.1,32,94.1
2023,DIV,"Bath County Public Schools","Economically Disadvantaged",14,13,92.9,13,92.9
2023,DIV,"Bath County Public Schools",Female,17,16,94.1,16,94.1
2023,DIV,"Bath County Public Schools",Hispanic,<,<,100,<,100
2023,DIV,"Bath County Public Schools",Male,17,16,94.1,16,94.1
2023,DIV,"Bath County Public Schools","Students with Disabilities",<,<,100,<,100
2023,DIV,"Bath County Public Schools",White,33,31,93.9,31,93.9
2023,DIV,"Bedford County Public Schools","All Students",776,712,91.8,730,94.1
2023,DIV,"Bedford County Public Schools","American Indian",<,<,<,<,<
2023,DIV,"Bedford County Public Schools",Asian,16,15,93.8,15,93.8
2023,DIV,"Bedford County Public Schools",Black,65,60,92.3,60,92.3
2023,DIV,"Bedford County Public Schools","Economically Disadvantaged",260,224,86.2,235,90.4
2023,DIV,"Bedford County Public Schools","English Learners",<,<,<,<,<
2023,DIV,"Bedford County Public Schools",Female,370,341,92.2,348,94.1
2023,DIV,"Bedford County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Bedford County Public Schools",Hispanic,37,31,83.8,31,83.8
2023,DIV,"Bedford County Public Schools",Homeless,15,8,53.3,8,53.3
2023,DIV,"Bedford County Public Schools",Male,406,371,91.4,382,94.1
2023,DIV,"Bedford County Public Schools","Military Connected",14,12,85.7,12,85.7
2023,DIV,"Bedford County Public Schools","Multiple Races",43,37,86,39,90.7
2023,DIV,"Bedford County Public Schools","Students with Disabilities",91,82,90.1,83,91.2
2023,DIV,"Bedford County Public Schools",White,614,569,92.7,585,95.3
2023,DIV,"Bland County Public Schools","All Students",48,42,87.5,42,87.5
2023,DIV,"Bland County Public Schools","Economically Disadvantaged",28,24,85.7,24,85.7
2023,DIV,"Bland County Public Schools",Female,25,22,88,22,88
2023,DIV,"Bland County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Bland County Public Schools",Male,23,20,87,20,87
2023,DIV,"Bland County Public Schools","Multiple Races",<,<,100,<,100
2023,DIV,"Bland County Public Schools","Students with Disabilities",10,9,90,9,90
2023,DIV,"Bland County Public Schools",White,47,41,87.2,41,87.2
2023,DIV,"Botetourt County Public Schools","All Students",366,344,94,346,94.5
2023,DIV,"Botetourt County Public Schools",Asian,<,<,100,<,100
2023,DIV,"Botetourt County Public Schools",Black,<,<,100,<,100
2023,DIV,"Botetourt County Public Schools","Economically Disadvantaged",104,92,88.5,93,89.4
2023,DIV,"Botetourt County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Botetourt County Public Schools",Female,171,165,96.5,165,96.5
2023,DIV,"Botetourt County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Botetourt County Public Schools",Hispanic,21,18,85.7,18,85.7
2023,DIV,"Botetourt County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Botetourt County Public Schools",Male,195,179,91.8,181,92.8
2023,DIV,"Botetourt County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Botetourt County Public Schools","Multiple Races",17,16,94.1,16,94.1
2023,DIV,"Botetourt County Public Schools","Students with Disabilities",42,36,85.7,36,85.7
2023,DIV,"Botetourt County Public Schools",White,316,298,94.3,300,94.9
2023,DIV,"Bristol City Public Schools","All Students",153,137,89.5,137,89.5
2023,DIV,"Bristol City Public Schools",Asian,<,<,100,<,100
2023,DIV,"Bristol City Public Schools",Black,15,13,86.7,13,86.7
2023,DIV,"Bristol City Public Schools","Economically Disadvantaged",103,90,87.4,90,87.4
2023,DIV,"Bristol City Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Bristol City Public Schools",Female,71,63,88.7,63,88.7
2023,DIV,"Bristol City Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Bristol City Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Bristol City Public Schools",Homeless,<,<,<,<,<
2023,DIV,"Bristol City Public Schools",Male,82,74,90.2,74,90.2
2023,DIV,"Bristol City Public Schools","Multiple Races",12,11,91.7,11,91.7
2023,DIV,"Bristol City Public Schools","Students with Disabilities",22,20,90.9,20,90.9
2023,DIV,"Bristol City Public Schools",White,118,106,89.8,106,89.8
2023,DIV,"Brunswick County Public Schools","All Students",105,92,87.6,94,89.5
2023,DIV,"Brunswick County Public Schools",Asian,<,<,100,<,100
2023,DIV,"Brunswick County Public Schools",Black,84,74,88.1,76,90.5
2023,DIV,"Brunswick County Public Schools","Economically Disadvantaged",74,62,83.8,64,86.5
2023,DIV,"Brunswick County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Brunswick County Public Schools",Female,48,42,87.5,42,87.5
2023,DIV,"Brunswick County Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Brunswick County Public Schools",Homeless,<,<,<,<,<
2023,DIV,"Brunswick County Public Schools",Male,57,50,87.7,52,91.2
2023,DIV,"Brunswick County Public Schools","Students with Disabilities",13,10,76.9,11,84.6
2023,DIV,"Brunswick County Public Schools",White,15,13,86.7,13,86.7
2023,DIV,"Buchanan County Public Schools","All Students",204,190,93.1,195,95.6
2023,DIV,"Buchanan County Public Schools","Economically Disadvantaged",112,104,92.9,106,94.6
2023,DIV,"Buchanan County Public Schools",Female,96,92,95.8,93,96.9
2023,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Buchanan County Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Buchanan County Public Schools",Male,108,98,90.7,102,94.4
2023,DIV,"Buchanan County Public Schools","Multiple Races",<,<,<,<,<
2023,DIV,"Buchanan County Public Schools","Students with Disabilities",33,27,81.8,29,87.9
2023,DIV,"Buchanan County Public Schools",White,200,188,94,192,96
2023,DIV,"Buckingham County Public Schools","All Students",145,136,93.8,137,94.5
2023,DIV,"Buckingham County Public Schools",Black,49,45,91.8,45,91.8
2023,DIV,"Buckingham County Public Schools","Economically Disadvantaged",89,83,93.3,84,94.4
2023,DIV,"Buckingham County Public Schools","English Learners",<,<,<,<,<
2023,DIV,"Buckingham County Public Schools",Female,83,79,95.2,80,96.4
2023,DIV,"Buckingham County Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Buckingham County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Buckingham County Public Schools",Male,62,57,91.9,57,91.9
2023,DIV,"Buckingham County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Buckingham County Public Schools","Multiple Races",10,9,90,10,100
2023,DIV,"Buckingham County Public Schools","Students with Disabilities",22,19,86.4,19,86.4
2023,DIV,"Buckingham County Public Schools",White,77,75,97.4,75,97.4
2023,DIV,"Buena Vista City Public Schools","All Students",61,54,88.5,56,91.8
2023,DIV,"Buena Vista City Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Buena Vista City Public Schools",Black,<,<,100,<,100
2023,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",33,27,81.8,29,87.9
2023,DIV,"Buena Vista City Public Schools",Female,29,24,82.8,24,82.8
2023,DIV,"Buena Vista City Public Schools",Hispanic,<,<,100,<,100
2023,DIV,"Buena Vista City Public Schools",Homeless,<,<,<,<,<
2023,DIV,"Buena Vista City Public Schools",Male,32,30,93.8,32,100
2023,DIV,"Buena Vista City Public Schools","Multiple Races",<,<,<,<,<
2023,DIV,"Buena Vista City Public Schools","Students with Disabilities",11,11,100,11,100
2023,DIV,"Buena Vista City Public Schools",White,49,43,87.8,45,91.8
2023,DIV,"Campbell County Public Schools","All Students",602,580,96.3,590,98
2023,DIV,"Campbell County Public Schools","American Indian",<,<,<,<,<
2023,DIV,"Campbell County Public Schools",Asian,11,11,100,11,100
2023,DIV,"Campbell County Public Schools",Black,100,97,97,98,98
2023,DIV,"Campbell County Public Schools","Economically Disadvantaged",260,242,93.1,251,96.5
2023,DIV,"Campbell County Public Schools","English Learners",20,19,95,19,95
2023,DIV,"Campbell County Public Schools",Female,316,302,95.6,309,97.8
2023,DIV,"Campbell County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Campbell County Public Schools",Hispanic,33,28,84.8,29,87.9
2023,DIV,"Campbell County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Campbell County Public Schools",Male,286,278,97.2,281,98.3
2023,DIV,"Campbell County Public Schools","Multiple Races",31,31,100,31,100
2023,DIV,"Campbell County Public Schools","Students with Disabilities",61,59,96.7,59,96.7
2023,DIV,"Campbell County Public Schools",White,424,411,96.9,418,98.6
2023,DIV,"Caroline County Public Schools","All Students",306,270,88.2,270,88.2
2023,DIV,"Caroline County Public Schools",Black,83,79,95.2,79,95.2
2023,DIV,"Caroline County Public Schools","Economically Disadvantaged",149,128,85.9,128,85.9
2023,DIV,"Caroline County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Caroline County Public Schools",Female,147,135,91.8,135,91.8
2023,DIV,"Caroline County Public Schools","Foster Care",<,<,100,<,100
2023,DIV,"Caroline County Public Schools",Hispanic,39,35,89.7,35,89.7
2023,DIV,"Caroline County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Caroline County Public Schools",Male,159,135,84.9,135,84.9
2023,DIV,"Caroline County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Caroline County Public Schools","Multiple Races",26,20,76.9,20,76.9
2023,DIV,"Caroline County Public Schools","Native Hawaiian",<,<,100,<,100
2023,DIV,"Caroline County Public Schools","Students with Disabilities",44,37,84.1,37,84.1
2023,DIV,"Caroline County Public Schools",White,157,135,86,135,86
2023,DIV,"Carroll County Public Schools","All Students",248,224,90.3,229,92.3
2023,DIV,"Carroll County Public Schools",Black,<,<,<,<,<
2023,DIV,"Carroll County Public Schools","Economically Disadvantaged",125,104,83.2,108,86.4
2023,DIV,"Carroll County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Carroll County Public Schools",Female,114,105,92.1,107,93.9
2023,DIV,"Carroll County Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Carroll County Public Schools",Hispanic,19,17,89.5,17,89.5
2023,DIV,"Carroll County Public Schools",Male,134,119,88.8,122,91
2023,DIV,"Carroll County Public Schools",Migrant,<,<,100,<,100
2023,DIV,"Carroll County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Carroll County Public Schools","Multiple Races",<,<,<,<,<
2023,DIV,"Carroll County Public Schools","Students with Disabilities",34,27,79.4,27,79.4
2023,DIV,"Carroll County Public Schools",White,225,206,91.6,210,93.3
2023,DIV,"Charles City County Public Schools","All Students",34,31,91.2,31,91.2
2023,DIV,"Charles City County Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Charles City County Public Schools",Black,17,16,94.1,16,94.1
2023,DIV,"Charles City County Public Schools","Economically Disadvantaged",22,20,90.9,20,90.9
2023,DIV,"Charles City County Public Schools",Female,12,12,100,12,100
2023,DIV,"Charles City County Public Schools",Hispanic,<,<,100,<,100
2023,DIV,"Charles City County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Charles City County Public Schools",Male,22,19,86.4,19,86.4
2023,DIV,"Charles City County Public Schools","Multiple Races",<,<,100,<,100
2023,DIV,"Charles City County Public Schools","Students with Disabilities",<,<,<,<,<
2023,DIV,"Charles City County Public Schools",White,<,<,<,<,<
2023,DIV,"Charlotte County Public Schools","All Students",129,116,89.9,119,92.2
2023,DIV,"Charlotte County Public Schools",Black,38,35,92.1,35,92.1
2023,DIV,"Charlotte County Public Schools","Economically Disadvantaged",73,60,82.2,63,86.3
2023,DIV,"Charlotte County Public Schools",Female,68,61,89.7,62,91.2
2023,DIV,"Charlotte County Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Charlotte County Public Schools",Hispanic,<,<,<,<,<
2023,DIV,"Charlotte County Public Schools",Homeless,<,<,100,<,100
2023,DIV,"Charlotte County Public Schools",Male,61,55,90.2,57,93.4
2023,DIV,"Charlotte County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Charlotte County Public Schools","Multiple Races",<,<,100,<,100
2023,DIV,"Charlotte County Public Schools","Students with Disabilities",27,20,74.1,22,81.5
2023,DIV,"Charlotte County Public Schools",White,76,67,88.2,70,92.1
2023,DIV,"Charlottesville City Public Schools","All Students",307,275,89.6,279,90.9
2023,DIV,"Charlottesville City Public Schools",Asian,10,9,90,9,90
2023,DIV,"Charlottesville City Public Schools",Black,75,63,84,63,84
2023,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",156,132,84.6,135,86.5
2023,DIV,"Charlottesville City Public Schools","English Learners",51,42,82.4,42,82.4
2023,DIV,"Charlottesville City Public Schools",Female,150,137,91.3,138,92
2023,DIV,"Charlottesville City Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Charlottesville City Public Schools",Hispanic,54,43,79.6,46,85.2
2023,DIV,"Charlottesville City Public Schools",Homeless,14,11,78.6,11,78.6
2023,DIV,"Charlottesville City Public Schools",Male,157,138,87.9,141,89.8
2023,DIV,"Charlottesville City Public Schools","Multiple Races",32,29,90.6,29,90.6
2023,DIV,"Charlottesville City Public Schools","Students with Disabilities",27,23,85.2,24,88.9
2023,DIV,"Charlottesville City Public Schools",White,136,131,96.3,132,97.1
2023,DIV,"Chesapeake City Public Schools","All Students",3296,3083,93.5,3146,95.4
2023,DIV,"Chesapeake City Public Schools","American Indian",10,9,90,10,100
2023,DIV,"Chesapeake City Public Schools",Asian,110,110,100,110,100
2023,DIV,"Chesapeake City Public Schools",Black,1109,1005,90.6,1032,93.1
2023,DIV,"Chesapeake City Public Schools","Economically Disadvantaged",1113,978,87.9,1017,91.4
2023,DIV,"Chesapeake City Public Schools","English Learners",72,66,91.7,67,93.1
2023,DIV,"Chesapeake City Public Schools",Female,1612,1528,94.8,1555,96.5
2023,DIV,"Chesapeake City Public Schools","Foster Care",<,<,<,<,<
2023,DIV,"Chesapeake City Public Schools",Hispanic,364,338,92.9,344,94.5
2023,DIV,"Chesapeake City Public Schools",Homeless,12,12,100,12,100
2023,DIV,"Chesapeake City Public Schools",Male,1677,1549,92.4,1584,94.5
2023,DIV,"Chesapeake City Public Schools","Military Connected",536,526,98.1,529,98.7
2023,DIV,"Chesapeake City Public Schools","Multiple Races",264,255,96.6,258,97.7
2023,DIV,"Chesapeake City Public Schools","Native Hawaiian",13,12,92.3,12,92.3
2023,DIV,"Chesapeake City Public Schools","Students with Disabilities",475,426,89.7,435,91.6
2023,DIV,"Chesapeake City Public Schools",White,1426,1354,95,1380,96.8
2023,DIV,"Chesterfield County Public Schools","All Students",5199,4741,91.2,4783,92
2023,DIV,"Chesterfield County Public Schools","American Indian",11,10,90.9,10,90.9
2023,DIV,"Chesterfield County Public Schools",Asian,184,180,97.8,180,97.8
2023,DIV,"Chesterfield County Public Schools",Black,1450,1329,91.7,1338,92.3
2023,DIV,"Chesterfield County Public Schools","Economically Disadvantaged",1960,1685,86,1715,87.5
2023,DIV,"Chesterfield County Public Schools","English Learners",715,576,80.6,581,81.3
2023,DIV,"Chesterfield County Public Schools",Female,2642,2460,93.1,2483,94
2023,DIV,"Chesterfield County Public Schools","Foster Care",11,7,63.6,7,63.6
2023,DIV,"Chesterfield County Public Schools",Hispanic,1000,818,81.8,828,82.8
2023,DIV,"Chesterfield County Public Schools",Homeless,57,37,64.9,38,66.7
2023,DIV,"Chesterfield County Public Schools",Male,2557,2281,89.2,2300,89.9
2023,DIV,"Chesterfield County Public Schools","Military Connected",100,99,99,99,99
2023,DIV,"Chesterfield County Public Schools","Multiple Races",236,221,93.6,223,94.5
2023,DIV,"Chesterfield County Public Schools","Native Hawaiian",<,<,100,<,100
2023,DIV,"Chesterfield County Public Schools","Students with Disabilities",500,437,87.4,440,88
2023,DIV,"Chesterfield County Public Schools",White,2309,2174,94.2,2195,95.1
2023,DIV,"Clarke County Public Schools","All Students",191,191,100,191,100
2023,DIV,"Clarke County Public Schools",Black,<,<,100,<,100
2023,DIV,"Clarke County Public Schools","Economically Disadvantaged",37,37,100,37,100
2023,DIV,"Clarke County Public Schools","English Learners",<,<,100,<,100
2023,DIV,"Clarke County Public Schools",Female,90,90,100,90,100
2023,DIV,"Clarke County Public Schools",Hispanic,23,23,100,23,100
2023,DIV,"Clarke County Public Schools",Male,101,101,100,101,100
2023,DIV,"Clarke County Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Clarke County Public Schools","Multiple Races",18,18,100,18,100
2023,DIV,"Clarke County Public Schools","Native Hawaiian",<,<,100,<,100
2023,DIV,"Clarke County Public Schools","Students with Disabilities",13,13,100,13,100
2023,DIV,"Clarke County Public Schools",White,145,145,100,145,100
2023,DIV,"Colonial Beach Public Schools","All Students",44,40,90.9,40,90.9
2023,DIV,"Colonial Beach Public Schools","American Indian",<,<,100,<,100
2023,DIV,"Colonial Beach Public Schools",Black,<,<,<,<,<
2023,DIV,"Colonial Beach Public Schools","Economically Disadvantaged",19,17,89.5,17,89.5
2023,DIV,"Colonial Beach Public Schools",Female,17,15,88.2,15,88.2
2023,DIV,"Colonial Beach Public Schools",Hispanic,<,<,100,<,100
2023,DIV,"Colonial Beach Public Schools",Homeless,<,<,<,<,<
2023,DIV,"Colonial Beach Public Schools",Male,27,25,92.6,25,92.6
2023,DIV,"Colonial Beach Public Schools","Military Connected",<,<,100,<,100
2023,DIV,"Colonial Beach Public Schools","Multiple Races",<,<,100,<,100
2023,DIV,"Colonial Beach Public Schools","Students with Disabilities",<,<,100,<,100
2023,DIV,"Colonial Beach Public Schools",White,24,21,87.5,21,87.5
2023,DIV,"Colonial Heights City Public Schools","All Students",184,167,90.8,169,91.8
2023,DIV,"Colonial Heights City Public Schools",Asian,<,<,100,<,100
2023,DIV,"Colonial Heights City Public Schools",Black,37,35,94.6,35,94.6
2023,DIV,"Colonial Heights City Public Schools","Economically Disadvantaged",94,82,87.2,84,89.4
2023,DIV,"Colonial Heights City Public Schools","English Learners",<,<,<,<,<
2023,DIV,"Colonial Heights City Public Schools",Female,90,84,93.3,86,95.6
